关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
2-5-2-9-1598249322,100009,5979,4185,70,Y9Hi3H4++ryoVGg2AyMTMwsLExMrGzMjMxsDOwcHCwMTIws7KxMTGzsLEwsbUI6Fg42VhY3h5VsA,200,0,100.00,42.0,104,42
1-8-9-14-780794592,200015,5967,3790,63.52,DcexDYAwDARAv/3OJ2YQJCRaSmrmYAKGYTQatoHrjts0H/dz7etigDmCCWuAy/ugwEC17vmvJI6oyob0ZIqqsvf8AA==,196,4,98.00,54.0,207,54
4-6-2-15-1465668458,100021,5937,4958,83.51,DclLDYBADAXA7r62r/vjRIIULOCBBFucUYUIggeY6+g2rcvxPvO5i0jKgqwZCoE5A25uFmQYQ82jALX11GFhpQwG2/Dg+NuJ1FutItf9AQ==,200,0,100.00,72.0,309,72
9-3-1-9-566948559,200012,5747,4751,82.67,DcpBEYBADATB2U1yGEAAKpCDCHygADFnAhH8MUB+U12T+7I+93lt30QSloyJSNmAq5kRjVGMXmxndETJKTjeHw==,200,0,100.00,54.0,394,54
9-5-5-14-362185415,100026,5742,2964,51.62,YzHjk8hXea937WM1AyMjEzMzMwsrExsTMzsDBycXOzcXFxsXDw8vAxszEyMrCzMnBw8XMzcvEzMvNxMXOycHUDGD0mwA,197,3,98.50,54.0,128,54
9-5-7-13-1245853386,100026,5704,2050,35.94,BcFLFYAwDATATTdtPi13BPTMEVsIQB4eaoOHA2b03PZrvsf6bkgRglqbKKt5eJb07u4plWgNyByDvQvNECNStGA9Pw==,123,77,61.50,54.0,109,54
2-6-4-11-83536910,100008,5700,4849,85.07,Y9Hikl5it/it5dZKBgZGJmYWZlY2BmZ2BgYWFgZ2dlZmDk5mDhYmVk4OTkYWNgYgYmRmYGJw5gMA,200,0,100.00,42.0,95,42
8-5-7-12-936430523,200004,5503,2114,38.42,YzHguafKK9zbfJOPgZGJkZmFlZGNnZGdnR3I5mDnZGfk4GLl4mZjZ2BkY+Vg4QSp4OIEynNzMzDkTQUA,137,63,68.50,48.0,128,48
3-3-4-12-400297177,100010,5198,3251,62.54,DcaxDYAwDATAd+zk8zHzIFFkDHp2oUJiEmoGhKsu1uXY7vN99gtW3AO1kcauoRAjxz+TBLZe5YXwdLC4ajaCsPkB,200,0,100.00,54.0,176,54
5-6-8-10-367995863,200015,5000,3424,68.48,YzHjUveYcqXATleLgZGBiYmZkZGFlY2RlZ2RnYOVjY2Fk42VhYWTnZ2DnYGBjQUsz8DGysnCwMrIzMTECBSuFwIA,198,2,99.00,54.0,204,54
6-5-8-8-2058410677,200003,4945,4252,85.99,Y9HiMDo2L70p+KILAyMTAzMzMxMLKzMTGxsrAxsDAzsDKxMDIzMzIxMbCzMbUICZnZ2FiZmhLRkA,200,0,100.00,42.0,104,42
3-7-9-6-1500971109,100008,4919,4583,93.17,Y9Fik15it/it5dZKBgZGJmZmZgYgYmBhZWBhYQBBZlYWFiZWFlZWRhYgwcrCyMrCxLDwJgA=,200,0,100.00,42.0,209,42
6-9-7-10-1761701050,100002,4639,3281,70.73,Y1HnsjrKMfF9W+RuBkYmRmYWFlYWFhZmNiZ2DnYmDgZGBiZOTiZGVqAIKxsjIycHEzuD/XIA,200,0,100.00,39.0,52,39
5-2-8-15-1190199891,200007,4522,1535,33.95,DcjBEYAgDATAC1wICViIDTBjCX6tR1/W5sdCrEN+O8ttuY73/tbxQFKmFqVVR7IAszJiFqc9A2JVUL31pq2TCkRJ0XHuPw==,199,1,99.50,57.0,175,57
4-9-6-8-1858044781,100009,4502,3595,79.85,BcFBAYAwDAPANGmbGeCDBPzwQgLW9kfGHKBld3mNbz3rOO8XCIBiSiAR1SFLadKVtChV203MfwM=,200,0,100.00,42.0,130,42
4-8-8-14-1103592048,200012,4386,2406,54.86,YzHjE7kyu6hX4fN+BkYmZhYGJlZmNhY2dnYORhZOBkYOZg4OJi4uVqAAFzsbByc3Dw8vMxsPMzszGysHLzcnNy/D3mAA,200,0,100.00,54.0,109,54
1-8-6-10-1958004206,100040,4327,3587,82.9,DcgxAYBADAPANknTl/IjCw7YUYAMVDHiBwOYgBtPy3i2dX/P+4gEgkRSSlUY/U8BKjaKSstld7Oy3TGvDw==,200,0,100.00,48.0,325,48
5-4-9-12-607524046,200004,4292,3024,70.46,DcS7AUBQDAXQ5OV7EzRqpd6OagNqjGAGTnH0mJ59Xq/zXohpiJoHW2JU/hmyIJnkUa4NoLohKOUKercP,200,0,100.00,48.0,166,48
3-8-6-12-1567142398,100010,4146,2594,62.57,Fcq5DYBADARAr73nj14IkSiEnF6IkKiEmFqoBzHxcJn29TqeezsFauAAzc0DSBYs3JnJbG2x6iyOPzmUYKS4vPMH,199,1,99.50,54.0,156,54
3-6-5-7-753462900,200004,4097,3302,80.6,DcmhAYAwEAPA5PMJCgwz4NkRCwt0Mwyz0LPX5/Id6/5c7wYWKLScOJCRQsmO7S4SKMyLIrIa4/4B,200,0,100.00,48.0,220,48
9-9-5-14-2032573128,200007,3982,1743,43.77,Y7Hkqw061fxM0+woAyMTMwsrExMDGysLAxMTCzsHGxs7Jxc3kMnDy8DKwM3BwsTEys3MyMPBxcrAycPCysvLyc7MxciwqwcA,182,18,91.00,57.0,134,57
8-9-7-9-49335105,200004,3919,3058,78.03,Dce7AUBAFATA3X3fC0hoQa5HsYpUcolamGz8HO+xbPc1V1A0DwaUFUkWqkmP7L8KsFRJh6zTBDz7Bw==,199,1,99.50,48.0,136,48
4-1-3-8-171549570,200015,3804,3498,91.96,DcixDYBADATB8/r8phMkJFJCYsqhGDqiBepBMOF4m+bjes59XRQglCm7TAyRrWq3S2NAhGgbyq0/qQh0vx8=,200,0,100.00,54.0,260,54
