关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
5-3-2-22-703895951,100064,548,149,27.19,82.50,55.31,55.31,165,35,126.0,1888,126
4-9-5-12-404015311,100030,546,476,87.18,99.50,12.32,12.32,199,1,66.0,221,66
5-6-1-13-1673880239,100075,545,456,83.67,99.00,15.33,15.33,198,2,84.0,6045,84
3-5-6-12-1895646576,100005,545,386,70.83,92.50,21.67,21.67,185,15,66.0,203,66
4-5-9-12-1984908556,100014,545,426,78.17,97.00,18.83,18.83,194,6,54.0,211,54
6-7-5-17-1317217970,200053,544,257,47.24,66.50,19.26,19.26,133,67,72.0,220,72
3-7-7-11-1776901668,200003,543,401,73.85,100.00,26.15,26.15,200,0,42.0,77,42
8-3-8-11-721772889,200003,543,374,68.88,91.00,22.12,22.12,182,18,42.0,86,42
4-3-4-14-1243366720,100063,543,233,42.91,93.50,50.59,50.59,187,13,99.0,1266,99
9-1-6-17-11507964,100048,541,293,54.16,58.00,3.84,3.84,116,84,66.0,463,66
5-3-6-15-679717130,100046,541,348,64.33,85.00,20.67,20.67,170,30,57.0,142,57
9-4-9-13-182659390,100034,541,248,45.84,98.00,52.16,52.16,196,4,72.0,338,72
9-6-2-15-952898671,100004,540,436,80.74,90.00,9.26,9.26,180,20,60.0,225,60
7-9-3-22-198859739,100061,539,269,49.91,95.00,45.09,45.09,190,10,102.0,843,102
3-2-2-12-652871377,100066,539,276,51.21,90.50,39.29,39.29,181,19,93.0,3245,93
7-3-2-10-1510597565,100088,539,347,64.38,75.00,10.62,10.62,150,50,72.0,1381,72
9-8-6-17-1372025970,400011,538,295,54.83,94.50,39.67,39.67,189,11,90.0,448,90
5-3-3-17-1355795513,100016,538,389,72.30,99.00,26.70,26.70,198,2,66.0,214,66
3-4-5-11-1990512589,100010,536,201,37.50,100.00,62.50,62.50,200,0,54.0,181,54
7-3-3-9-2121558793,100056,533,372,69.79,90.00,20.21,20.21,180,20,54.0,419,54
8-6-4-14-1136583222,100065,530,236,44.53,86.00,41.47,41.47,172,28,108.0,1431,108
6-9-1-23-147410448,400012,530,208,39.25,80.00,40.75,40.75,160,40,108.0,990,108
3-8-5-15-409520207,200013,530,399,75.28,100.00,24.72,24.72,200,0,63.0,167,63
9-4-4-12-1282288945,200012,530,326,61.51,99.50,37.99,37.99,199,1,54.0,215,54
6-1-3-20-1420564771,100051,529,148,27.98,55.50,27.52,27.52,111,89,105.0,1253,105
6-2-2-16-74426683,100096,528,214,40.53,46.50,5.97,5.97,93,107,96.0,1607,96
7-7-4-12-1753118092,100043,527,395,74.95,94.00,19.05,19.05,188,12,78.0,606,78
6-6-7-11-1564481282,100059,525,153,29.14,71.00,41.86,41.86,142,58,81.0,989,81
8-4-6-21-362320122,100094,525,131,24.95,74.50,49.55,49.55,149,51,99.0,388,99
3-7-2-21-1893679613,400013,525,238,45.33,97.50,52.17,52.17,195,5,108.0,3718,108
